Accion,Precio,Fecha
BA.SABADELL,0.6702,2021-11-09 23:41:28.868347
BA.SABADELL,0.6702,2021-11-09 23:56:45.432016
MAPFRE,1.937,2021-11-09 23:56:45.476895
MAPFRE,1.937,2021-11-09 23:41:28.942149
IAG,2.032,2021-11-09 23:41:28.924197
IAG,2.032,2021-11-09 23:56:45.464928
CAIXABANK,2.487,2021-11-09 23:41:28.878321
CAIXABANK,2.487,2021-11-09 23:56:45.438996
B.SANTANDER,3.1915,2021-11-09 23:56:45.426031
B.SANTANDER,3.1915,2021-11-09 23:41:28.865355
TELEFONICA,3.8175,2021-11-09 23:56:45.503822
TELEFONICA,3.8175,2021-11-09 23:41:28.969078
BANKINTER,4.904,2021-11-09 23:56:45.434010
BANKINTER,4.904,2021-11-09 23:41:28.872336
BBVA,5.973,2021-11-09 23:56:45.436006
BBVA,5.973,2021-11-09 23:41:28.875329
MELIA HOTELS,6.822,2021-11-09 23:41:28.949147
MELIA HOTELS,6.822,2021-11-09 23:56:45.479888
INM.COLONIAL,8.57,2021-11-09 23:41:28.939158
INM.COLONIAL,8.57,2021-11-09 23:56:45.473903
MERLIN,9.656,2021-11-09 23:41:28.955115
MERLIN,9.656,2021-11-09 23:56:45.481881
IBERDROLA,10.1,2021-11-09 23:56:45.466921
IBERDROLA,10.1,2021-11-09 23:41:28.929185
REPSOL,10.806,2021-11-09 23:56:45.495844
REPSOL,10.806,2021-11-09 23:41:28.963094
INDRA A,10.92,2021-11-09 23:56:45.470910
INDRA A,10.92,2021-11-09 23:41:28.935168
ACERINOX,11.21,2021-11-09 23:41:28.847403
ACERINOX,11.21,2021-11-09 23:56:45.406084
ALMIRALL,12.53,2021-11-09 23:56:45.415060
ALMIRALL,12.53,2021-11-09 23:41:28.856380
SOLARIA,15.94,2021-11-09 23:41:28.967083
SOLARIA,15.94,2021-11-09 23:56:45.500831
R.E.C.,17.93,2021-11-09 23:41:28.961099
R.E.C.,17.93,2021-11-09 23:56:45.492855
GRIFOLS CL.A,18.435,2021-11-09 23:56:45.459940
GRIFOLS CL.A,18.435,2021-11-09 23:41:28.918214
ENDESA,19.54,2021-11-09 23:56:45.449967
ENDESA,19.54,2021-11-09 23:41:28.899264
ENAGAS,19.8,2021-11-09 23:56:45.447973
ENAGAS,19.8,2021-11-09 23:41:28.894291
SIEMENS GAME,20.6,2021-11-09 23:56:45.498844
SIEMENS GAME,20.6,2021-11-09 23:41:28.965096
NATURGY,23.12,2021-11-09 23:56:45.483877
NATURGY,23.12,2021-11-09 23:41:28.956112
ACS,23.21,2021-11-09 23:56:45.409077
ACS,23.21,2021-11-09 23:41:28.850395
CIE AUTOMOT.,24.8,2021-11-09 23:56:45.445978
CIE AUTOMOT.,24.8,2021-11-09 23:41:28.888306
FERROVIAL,26.87,2021-11-09 23:56:45.453959
FERROVIAL,26.87,2021-11-09 23:41:28.910236
ARCELORMIT.,27.725,2021-11-09 23:56:45.420049
ARCELORMIT.,27.725,2021-11-09 23:41:28.860368
INDITEX,31.89,2021-11-09 23:41:28.932176
INDITEX,31.89,2021-11-09 23:56:45.468917
FLUIDRA,33.65,2021-11-09 23:56:45.455951
FLUIDRA,33.65,2021-11-09 23:41:28.913227
CELLNEX,53.58,2021-11-09 23:56:45.441989
CELLNEX,53.58,2021-11-09 23:41:28.882309
VISCOFAN,58.85,2021-11-09 23:56:45.505817
VISCOFAN,58.85,2021-11-09 23:41:28.974065
PHARMA MAR,61.64,2021-11-09 23:56:45.485873
PHARMA MAR,61.64,2021-11-09 23:41:28.959104
AMADEUS,64.24,2021-11-09 23:41:28.858375
AMADEUS,64.24,2021-11-09 23:56:45.417055
AENA,149.8,2021-11-09 23:56:45.412069
AENA,149.8,2021-11-09 23:41:28.852391
ACCIONA,157.2,2021-11-09 23:56:45.404091
ACCIONA,157.2,2021-11-09 23:41:28.845409
