Date,Open,High,Low,Close,Volume,Currency
2018-01-02,7.139,7.169,7.05,7.082,15958400,EUR
2018-01-03,7.113,7.12,7.055,7.094,13318700,EUR
2018-01-04,7.113,7.274,7.104,7.221,20791400,EUR
2018-01-05,7.259,7.282,7.203,7.253,13584400,EUR
2018-01-08,7.274,7.293,7.22,7.235,13423551,EUR
2018-01-09,7.227,7.284,7.217,7.262,12948667,EUR
2018-01-10,7.28,7.38,7.259,7.35,25977068,EUR
2018-01-11,7.349,7.45,7.297,7.344,20968022,EUR
2018-01-12,7.391,7.448,7.359,7.448,20457292,EUR
2018-01-15,7.465,7.516,7.428,7.481,15062455,EUR
2018-01-16,7.478,7.51,7.439,7.477,15199921,EUR
2018-01-17,7.4,7.457,7.331,7.398,17961084,EUR
2018-01-18,7.42,7.429,7.345,7.379,13560275,EUR
2018-01-19,7.375,7.448,7.354,7.4,14375402,EUR
2018-01-22,7.423,7.535,7.375,7.495,16017376,EUR
2018-01-23,7.53,7.569,7.45,7.49,15621766,EUR
2018-01-24,7.478,7.533,7.455,7.48,12642143,EUR
2018-01-25,7.483,7.601,7.481,7.601,17010192,EUR
2018-01-26,7.59,7.65,7.565,7.634,12502773,EUR
2018-01-29,7.659,7.674,7.594,7.643,14150513,EUR
2018-01-30,7.59,7.617,7.512,7.563,19808168,EUR
2018-01-31,7.569,7.632,7.511,7.568,18410114,EUR
2018-02-01,7.68,7.73,7.42,7.458,23911694,EUR
2018-02-02,7.45,7.467,7.292,7.354,18027280,EUR
2018-02-05,7.286,7.322,7.212,7.255,18564966,EUR
2018-02-06,7.1,7.23,7.03,7.085,31706068,EUR
2018-02-07,7.195,7.268,7.087,7.227,23092132,EUR
2018-02-08,7.193,7.287,7.098,7.131,23712878,EUR
2018-02-09,7.067,7.098,6.928,7.009,29355548,EUR
2018-02-12,7.084,7.153,7.053,7.097,17869516,EUR
2018-02-13,7.102,7.124,6.984,6.998,16120750,EUR
2018-02-14,7.061,7.077,6.915,6.968,18542636,EUR
2018-02-15,7.06,7.14,6.968,6.993,17162516,EUR
2018-02-16,7.057,7.077,6.974,7.059,20079716,EUR
2018-02-19,7.085,7.117,7.022,7.022,10225798,EUR
2018-02-20,7.011,7.071,6.975,7.026,16485276,EUR
